SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1425273	493	493
1426289	500	500
1427304	488	488
1428313	489	489
1429324	490	490
1430332	512	512
1431347	517	517
1432354	490	490
1433368	487	487
1434401	503	503
1435414	547	547
1436420	513	513
1437523	467	467
1438543	497	497
1439680	530	530
1440700	524	524
1441712	493	493
1442768	501	501
1443775	527	527
1444777	462	462
1445793	522	522
1446807	523	523
1447816	458	458
1448830	498	498
1449841	543	543
1450848	536	536
1451865	475	475
1452880	515	515
1453885	497	497
1454905	478	478
1455921	484	484
1456940	461	461
1457948	510	510
1458952	521	521
1459971	506	506
1460988	486	486
1461996	480	480
1463015	546	546
1464023	513	513
1465026	498	498
1466043	544	544
1467067	530	530
1468083	505	505
1469102	517	517
1470131	510	510
1471150	487	487
1472194	494	494
1473210	507	507
1474223	522	522
1475273	450	450
1476287	504	504
1477303	526	526
1478336	500	500
1479386	445	445
1480401	520	520
1481415	502	502
1482443	500	500
1483450	508	508
1484468	507	507
1485500	480	480
1486520	490	490
1487526	477	477
1488535	492	492
1489540	497	497
1490544	500	500
1491545	506	506
1492564	490	490
1493566	496	496
1494669	494	494
1495672	544	544
1496703	499	499
1497723	484	484
1498740	475	475
1499757	541	541
1500811	535	535
1501817	527	527
1502834	463	463
1503930	505	505
1504934	529	529
1505943	486	486
1506944	467	467
1507968	494	494
1508992	493	493
1510028	536	536
1511044	518	518
1512065	469	469
1513112	507	507
1514129	502	502
1515142	513	513
1516161	495	495
1517184	512	512
1518203	467	467
1519275	476	476
1520295	480	480
1521317	482	482
1522334	522	522
1523381	504	504
1524388	512	512
1525396	507	507
1526407	481	481
1527434	514	514
1528494	510	510
1529509	525	525
1530516	470	470
1531545	488	488
1532558	474	474
1533568	508	508
1534597	492	492
1535609	536	536
1536616	509	509
1537622	487	487
1538635	516	516
1539750	484	484
1540757	484	484
1541774	486	486
1542787	489	489
1543800	487	487
1544813	466	466
1545881	503	503
1546885	485	485
1547928	475	475
1548946	457	457
1550028	468	468
1551043	495	495
1552049	477	477
1553060	475	475
1554150	478	478
1555166	484	484
1556168	507	507
1557180	488	488
1558197	515	515
1559205	484	484
1560219	468	468
1561220	495	495
1562223	477	477
1563242	503	503
1564246	526	526
1565259	482	482
1566270	460	460
1567293	489	489
1568301	523	523
1569329	508	508
1570344	501	501
1571349	504	504
1572365	522	522
1573368	515	515
1574423	492	492
1575437	541	541
1576447	507	507
1577467	518	518
1578486	474	474
1579502	542	542
1580515	506	506
1581523	524	524
1582536	507	507
1583540	491	491
1584545	508	508
1585596	505	505
1586606	516	516
1587608	479	479
1588616	505	505
1589653	513	513
1590659	537	537
1591674	470	470
1592704	476	476
1593722	506	506
1594748	523	523
1595773	523	523
1596779	524	524
1597804	496	496
1598886	489	489
1599895	494	494
1600969	538	538
1602021	521	521
1603022	485	485
1604028	532	532
1605046	506	506
1606198	534	534
1607224	520	520
1608230	521	521
1609239	497	497
1610274	473	473
1611282	532	532
1612302	551	551
1613411	513	513
1614414	556	556
1615506	512	512
1616524	482	482
1617535	477	477
1618561	483	483
1619572	480	480
1620600	452	452
1621636	500	500
1622661	483	483
1623664	479	479
1624668	471	471
1625718	463	463
1626779	498	498
1627780	526	526
1628783	485	485
1629807	471	471
1630811	492	492
1631813	501	501
1632849	485	485
1633876	491	491
1634905	500	500
1635918	494	494
1637013	471	471
1638020	522	522
1639026	494	494
1640037	481	481
1641043	491	491
1642049	475	475
1643067	490	490
1644079	471	471
1645126	502	502
1646152	524	524
1647169	461	461
1648199	504	504
1649213	527	527
1650292	499	499
1651328	512	512
1652338	537	537
1653349	534	534
1654373	568	568
1655380	494	494
1656385	533	533
1657413	514	514
1658427	496	496
1659436	541	541
1660440	479	479
1661461	461	461
1662479	508	508
1663556	506	506
1664575	480	480
1665616	473	473
1666629	473	473
1667640	530	530
1668660	483	483
1669671	494	494
1670680	496	496
1671687	463	463
1672725	474	474
1673866	507	507
1674869	511	511
1675884	485	485
1676892	477	477
1677907	471	471
1678948	473	473
1679961	482	482
1680985	478	478
1682043	508	508
1683044	477	477
1684058	517	517
1685061	461	461
1686068	490	490
1687090	487	487
1688107	471	471
1689121	481	481
1690129	489	489
